nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
runianka japońska,pachysandra terminalis,krzewy,"liściaste, płożące lub okrywowe, znoszące zacienienie, zimozielone (liściaste)",,"żyzna, próchniczna",białe,,,,płożący,30 cm,V,zimozielone,,gleba wilgotna,"półcień, cień",pod koronami drzew,,,,
krasnodrzew pospolity / koka,erythroxylum coca,krzewy,"krzewy, lecznicze, rośliny egzotyczne",,"próchniczna, przepuszczalna","kremowe, zielonkawe",pojedyncze,kwaśna,jagody,krzaczkowaty,2-3 m,,,"wąska, regularna, wyprostowana",gleba umiarkowanie wilgotna,słońce,roślina lecznicza,,,czerwone,liście
kalina praska,viburnum pragense,krzewy,"krzewy, liściaste, zimozielone (liściaste), ozdobne kwiaty","kwiatostany, ulistnienie","żyzna, próchniczna, przepuszczalna, bogata w wapń",białe,"pojedyncze, drobne","obojętna, lekko zasadowa",,"luźny, kulisty",2-3 m,V,zimozielone,,gleba umiarkowanie wilgotna,słońce,"rabaty, szpalery, sadzona przy ogrodzeniach, miejsca eksponowane",kwiaty,baldach,,
ostryż długi / kurkuma długolistna,curcuma longa,zioła,przyprawy,"kwiatostany, ulistnienie","żyzna, próchniczna, przepuszczalna","żółte, pomarańczowe",rurkowe,,,wzniesiony,1 m,"VI, VII, VIII, IX",,,gleba umiarkowanie wilgotna,słońce,"pojemniki, roślina lecznicza, roślina jadalna",,kłos,,
len,linum,"jednoroczne, dwuletnie","byliny, na słoneczne stanowisko, jednoroczne, dwuletnie, na słoneczne stanowisko, na skalniaki, kwitnące latem, na suszone bukiety, ozdobne kwiaty, ogródki wiejskie",kwiatostany,"małe wymagania glebowe, świeża, przepuszczalna",niebieskie,"pojedyncze, drobne",obojętna,,,,,sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"ogrody wiejskie, skalniaki, rabaty, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, pojemniki, balkony, bukiety",,,,
miłka okazała,eragrostis spectabilis,byliny,"byliny, na słoneczne stanowisko, ozdobne liście, kwitnące latem, trawy ozdobne","kwiatostany, ulistnienie","przepuszczalna, lekka, piaszczysta","czerwone, różowe","pojedyncze, drobne",,,kępy,20-45 cm,"VIII, IX",zimozielone,,gleba umiarkowanie sucha,słońce,"ogrody wiejskie, skalniaki, rabaty, obwódki rabat, pojemniki",,wiechowaty,,
ośmiał większy,cerinthe major,"jednoroczne, dwuletnie","na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne liście, kwitnące latem, ozdobne kwiaty","kwiatostany, kwiaty, ulistnienie","żyzna, próchniczna, przepuszczalna","żółte, niebieskie","pachnące, rurkowe","lekko kwaśna, obojętna",torebka,"rozłożysty, kępy",30-60 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, ogrody przydomowe, pojemniki, bukiety",kwiaty,,,
syningia okazała / gloksynia doniczkowa,sinningia speciosa,do wnętrz,,kwiaty,"żyzna, przepuszczalna, lekka","białe, czerwone, różowe, fioletowe","rurkowe, dzwonkowate, pojedyncze, duże",obojętna,,"krzaczkowaty, kępy",30 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,wnętrza,,,,
kmin rzymski,cuminum cyminum,zioła,,,"żyzna, próchniczna, przepuszczalna",białe,drobne,obojętna,rozłupnia,"wzniesiony, zwarty",50 cm,"VI, VII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, rabaty, ogrody przydomowe, pojemniki, roślina lecznicza, roślina jadalna",cała roślina,baldach,,"owoce, liście"
koper ogrodowy,anethum graveolens,zioła,przyprawy,kwiatostany,"żyzna, świeża, przepuszczalna",żółte,"pachnące, drobne","lekko kwaśna, obojętna",rozłupnia,wzniesiony,"1,2 m","VI, VII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody przydomowe, pojemniki, bukiety, roślina lecznicza, roślina jadalna",cała roślina,baldach,,
surmia bignoniowa / katalpa zwyczajna,catalpa bignonioides,drzewa,"liściaste, ozdobne kwiaty","kwiaty, ulistnienie",świeża,białe,dzwonkowate,,,rozłożysty,do 10 m,"VI, VII, VIII",sezonowe,,,słońce,,,wiechowaty,,
rozchodnik ostry,sedum acre,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"małe wymagania glebowe, uboga, lekka, piaszczysta",żółte,"pojedyncze, drobne",zasadowa,mieszek,płożący,10 cm,"VI, VII",sezonowe,,gleba sucha,słońce,"skalniaki, murki, roślina okrywowa, nasadzenia naturalistyczne",,,,
wiciokrzew pomorski,lonicera periclymenum,pnącza,"pnącza, znoszące zacienienie, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, pachnące kwiaty lub liście",kwiaty,"żyzna, przepuszczalna","białe, żółte, purpurowe, różowe, wielobarwne","pachnące, rurkowe","lekko kwaśna, obojętna",kuliste,pnącze,do 6 m,"V, VI, VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"roślina pnąca, na altany, tarasy, sadzona przy ogrodzeniach, miejsca eksponowane, pojedynczo, ogrody przydomowe",kwiaty,,,
palczatka miotlasta,schizachyrium scoparium,byliny,"byliny, na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące latem, ozdobne kwiaty, trawy ozdobne","kwiatostany, ulistnienie","próchniczna, przepuszczalna",,,,,,60-120 cm / zależnie od odmiany,"VII, VIII, IX",zimozielone,,gleba umiarkowanie wilgotna,słońce,"obwódki rabat, szpalery, skarpy, ogrody przydomowe, pojemniki, skalniaki",,,,
ashwagandha / witania ospała,withania somnifera,zioła,"na słoneczne stanowisko, ozdobne owoce, zioła, lecznicze",,"żyzna, przepuszczalna",zielonkawe,dzwonkowate,"lekko kwaśna, obojętna","owalne, jagody",krzaczkowaty,"1,5 m","IV, V, VI, VII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody przydomowe, roślina lecznicza",,,pomarańczowe,
sosna wejmutka,pinus strobus,drzewa,"drzewa, iglaste, ozdobne liście, na słoneczne stanowisko",cała roślina,"każda ogrodowa, przepuszczalna, piaszczysto-gliniasta",,,"lekko kwaśna, obojętna",,"kolumnowy, wąski",10 m,"V, VI",,"wąska, stożkowata, gęsta, regularna",gleba umiarkowanie wilgotna,słońce,"pojedynczo, ogrody przydomowe, duże ogrody, zieleń miejska",,,,
szarobródek syberyjski,spodiopogon sibiricus,byliny,"na słoneczne stanowisko, ozdobne liście, kwitnące latem, ozdobne kwiaty, trawy ozdobne, na suszone bukiety",cała roślina,"żyzna, próchniczna, przepuszczalna",purpurowe,drobne,"lekko kwaśna, obojętna, lekko zasadowa",,"wzniesiony, kępy","1,5-2 m","VII, VIII","półzimozielone, sezonowe",,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","rabaty, szpalery, brzegi zbiorników wodnych, nasadzenia naturalistyczne, pojedynczo, duże ogrody",,wiechowaty,,
wawrzyn szlachetny / laur,laurus nobilis,do wnętrz,"do wnętrz, na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne liście, kwitnące wiosną, przyprawy","cała roślina, ulistnienie","żyzna, próchniczna, przepuszczalna",,,"obojętna, lekko zasadowa",,zwarty,,"IV, V",zimozielone,,gleba umiarkowanie wilgotna,słońce,"tarasy, wnętrza, miejsca eksponowane, pojemniki, roślina lecznicza, roślina jadalna",liście,,,liście
eustoma wielkokwiatowa,eustoma grandiflorum,na balkon i taras,"na balkon i taras, znoszące zacienienie, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna, piaszczysto-gliniasta","białe, żółte, czerwone, różowe, niebieskie, fioletowe, wielobarwne","pojedyncze, duże",lekko kwaśna,torebka,wzniesiony,40-60 cm,"VI, VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, wnętrza, pojemniki, balkony, kwiat cięty",kwiaty,wiechowaty,,
wietrznica lessona,anemanthele lessoniana,byliny,,"rozety liściowe, ulistnienie","małe wymagania glebowe, próchniczna, przepuszczalna, bogata w wapń",różowe,drobne,"zasadowa, lekko zasadowa",,kępy,60-90 cm,"VII, VIII","zimozielone, sezonowe",,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, rabaty, obwódki rabat, szpalery, brzegi zbiorników wodnych, pojedynczo, w grupie, ogrody przydomowe, pojemniki",,grono,,
przetacznikowiec wirginijski,veronicastrum virginicum,byliny,"byliny, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiatostany,"żyzna, przepuszczalna","białe, różowe","pojedyncze, drobne",,,"wzniesiony, wyprostowany","1,5-2 m","VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, pojedynczo, ogrody przydomowe, kwiat cięty",kwiaty,grono,,
facelia błękitna,phacelia tanacetifolia,"jednoroczne, dwuletnie","jednoroczne, dwuletnie, jednoroczne, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty, ogródki wiejskie",kwiatostany,"małe wymagania glebowe, przepuszczalna",niebieskie,"dzwonkowate, pojedyncze, drobne",lekko kwaśna,,,,,sezonowe,,gleba umiarkowanie wilgotna,słońce,,,wiechowaty,,
hortensja bukietowa 'polar bear',hydrangea paniculata 'polar bear',krzewy,"krzewy, liściaste, na słoneczne stanowisko, ozdobne kwiaty",kwiatostany,"żyzna, próchniczna, przepuszczalna",białe,,"lekko kwaśna, obojętna",,"rozłożysty, krzaczkowaty",2 m,"VI, VII, VIII",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","pojedynczo, ogrody przydomowe, duże ogrody, kwiat cięty, rabaty, miejsca eksponowane",,baldachogrono,,
przetacznik kłosowy 'anniversary rose',veronica spicata 'anniversary rose',byliny,"byliny, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiatostany,"żyzna, próchniczna, przepuszczalna",różowe,pojedyncze,,torebka,wyprostowany,do 30 cm,"VI, VII",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"tarasy, ogrody wiejskie, rabaty, pojemniki, bukiety",,grono,,
ostróżka ogrodowa / ostróżka wyniosła,delphinium x cultorum,byliny,"byliny, trujące, na słoneczne stanowisko, kwitnące latem, na kwiat cięty, ozdobne kwiaty","kwiaty, ulistnienie","każda ogrodowa, żyzna, przepuszczalna, piaszczysto-gliniasta","ciemnoniebieskie, białe, czerwone, purpurowe, różowe, niebieskie, fioletowe, wielobarwne","pojedyncze, pełne",,mieszek,wzniesiony,od 1 do 2 m.,"VI, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"rabaty, murki, sadzona przy podporach, sadzona przy ogrodzeniach, w grupie, ogrody przydomowe, pojemniki, kwiat cięty",,wiechowaty,,roślina trująca
hortensja krzewiasta 'annabelle',hydrangea arborescens 'annabelle',krzewy,"liściaste, do dużych ogrodów lub parków, ozdobne kwiaty",kwiatostany,"żyzna, próchniczna, przepuszczalna",białe,,"lekko kwaśna, obojętna",,"kulisty, krzaczkowaty","1,5 m","VI, VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, ogrody przydomowe, duże ogrody, kwiat cięty",,baldachogrono,,
hortensja bukietowa pinky winky,hydrangea paniculata,krzewy,"liściaste, pojemnikowe, na słoneczne stanowisko, ozdobne kwiaty",kwiatostany,"żyzna, próchniczna, przepuszczalna","białe, różowe",,"lekko kwaśna, obojętna",,"wzniesiony, krzaczkowaty","1,5 m",,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, miejsca eksponowane, pojedynczo, ogrody przydomowe, pojemniki, kwiat cięty",,baldachogrono,,
paprotka zwyczajna,polypodium vulgare,byliny,"byliny, znoszące zacienienie, na skalniaki, ozdobne liście, na wilgotne stanowisko",ulistnienie,"żyzna, próchniczna, przepuszczalna",,,"obojętna, lekko zasadowa",,,35-60 cm,,sezonowe,,"gleba wilgotna, gleba stale wilgotna","półcień, cień","ogrody wiejskie, rabaty, brzegi zbiorników wodnych, roślina okrywowa, pod koronami drzew, nasadzenia naturalistyczne, w grupie, ogrody przydomowe",,,,
paprotnica krucha,cystopteris fragilis,byliny,"byliny, znoszące zacienienie, na skalniaki, ozdobne liście, na wilgotne stanowisko",ulistnienie,"żyzna, próchniczna, przepuszczalna",,,"zasadowa, lekko zasadowa",,"pokładający się, rozłożysty",10-40 cm,,sezonowe,,gleba stale wilgotna,cień,"ogrody wiejskie, skalniaki, brzegi zbiorników wodnych, murki, skarpy, pod koronami drzew, nasadzenia naturalistyczne",,,,
tawuła douglasa,spiraea douglasii,krzewy,"liściaste, do dużych ogrodów lub parków, żywopłotowe, na słoneczne stanowisko, ozdobne kwiaty",kwiatostany,"małe wymagania glebowe, żyzna, próchniczna, przepuszczalna",różowe,drobne,"lekko kwaśna, obojętna, lekko zasadowa",,"wzniesiony, zwarty","1,5-2 m","VI, VII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"rabaty, żywopłoty, szpalery, nasadzenia naturalistyczne, ogrody przydomowe, parki, zieleń miejska",,wiechowaty,,
trzcinnik ostrokwiatowy,calamagrostis ×acutiflora,byliny,"na słoneczne stanowisko, ozdobne liście, kwitnące wiosną, ozdobne kwiaty, trawy ozdobne","kwiatostany, ulistnienie","żyzna, przepuszczalna",,,"lekko kwaśna, obojętna",,"zwarty, wyprostowany",60-120 cm / zależnie od odmiany,VI,,,gleba umiarkowanie wilgotna,słońce,"skalniaki, rabaty, szpalery, ogrody przydomowe, duże ogrody, zieleń miejska, kwiat cięty",,kłos,,
kostrzewa gautiera,festuca gautieri,byliny,"płożące lub okrywowe, na skalniaki, ozdobne liście, trawy ozdobne","rozety liściowe, ulistnienie",przepuszczalna,,,"lekko kwaśna, obojętna",,kępy,30 cm,V,zimozielone,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"skalniaki, w grupie, pojemniki",,,,
turzyca buchanana,carex buchananii,byliny,"na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną, na wilgotne stanowisko, trawy ozdobne","rozety liściowe, ulistnienie","przepuszczalna, lekka",,,obojętna,,kępy,60 cm,VI,,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, rabaty, brzegi zbiorników wodnych, w grupie, ogrody przydomowe, pojemniki",,kłos,,
tawułka chińska,astilbe chinensis,byliny,byliny,,"żyzna, próchniczna","różowe, fioletowe",drobne,lekko kwaśna,,kępy,60 cm,"VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,"półcień, cień","ogrody wiejskie, rabaty, brzegi zbiorników wodnych, sadzona przy ogrodzeniach, pod koronami drzew, ogrody przydomowe, małe ogrody, duże ogrody, pojemniki, kwiat cięty",,wiechowaty,,
żywotnik olbrzymi,thuja plicata,drzewa,"iglaste, ozdobne liście","ulistnienie, kora",żyzna,,,"lekko kwaśna, obojętna",,wzniesiony,30 m,"IV, V",zimozielone,"gęsta, regularna","gleba wilgotna, gleba stale wilgotna","słońce, półcień","rabaty, pojedynczo, ogrody przydomowe, duże ogrody, parki, zieleń miejska",liście,,,
poziomka pospolita,fragaria vesca,"owocowe, warzywne",krzewy owocowe,owoce,"przewiewna, przepuszczalna, lekka","białe, żółte",pojedyncze,kwaśna,owoce pozorne,"rozłożysty, płożący",5-20cm,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień",roślina jadalna,,,czerwone,
wiciokrzew henry'ego,lonicera henryi,pnącza,"pnącza, na słoneczne stanowisko, ozdobne liście, zimozielone, kwitnące wiosną","cała roślina, ulistnienie","żyzna, próchniczna",purpurowe,rurkowe,"obojętna, lekko zasadowa",jagoda fałszywa,"płożący, pnącze",4 m,"V, VI",zimozielone,,gleba umiarkowanie wilgotna,słońce,"roślina pnąca, na altany, sadzona przy podporach, sadzona przy ogrodzeniach, roślina okrywowa",kwiaty,,"zielone, ciemnoniebieske",
osteospermum / stokrotka afrykańska,osteospermum,na balkon i taras,"jednoroczne, dwuletnie, na balkon i taras, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"każda ogrodowa, żyzna, przepuszczalna, piaszczysta","białe, kremowe, żółte, pomarańczowe, łososiowe, purpurowe, różowe, niebieskie, granatowe, fioletowe, liliowe","języczkowate, rurkowe, pojedyncze","lekko kwaśna, obojętna",,"wzniesiony, zwarty, krzaczkowaty",ok. 30 cm,"IV, V, VI, VII, VIII, IX",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"tarasy, skalniaki, rabaty, pojedynczo, ogrody przydomowe, małe ogrody, pojemniki, balkony, bukiety",,koszyczek kwiatowy,,
tatarak trawiasty,acorus gramineus,byliny,"kwitnące latem, byliny, trawy ozdobne","rozety liściowe, ulistnienie","żyzna, próchniczna",kremowe,drobne,lekko kwaśna,,kępy,50 cm,,półzimozielone,,gleba umiarkowanie wilgotna,słońce,"w grupie, ogrody przydomowe",,,,
mydlnica lekarska,saponaria officinalis,byliny,"byliny, trujące, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"każda ogrodowa, małe wymagania glebowe, przepuszczalna","białe, różowe","pojedyncze, pełne",,torebka,"wzniesiony, wyprostowany",80 cm,"VI, VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,słońce,,,,,
komosa biała,chenopodium album,"jednoroczne, dwuletnie","jednoroczne, dwuletnie, jednoroczne, na słoneczne stanowisko, trujące, kwitnące latem, kwitnące jesienią",,"każda ogrodowa, małe wymagania glebowe",zielonkawe,drobne,,,wzniesiony,30-200 cm,"VII, VIII, IX, X",,,,słońce,,,wiechowaty,,"liście, roślina trująca"
jałowiec płożący,juniperus horizontalis,krzewy,,"ulistnienie, pędy","małe wymagania glebowe, przepuszczalna, lekka, piaszczysta",,,lekko kwaśna,kuliste,płożący,40 cm,"IV, V",zimozielone,,gleba umiarkowanie sucha,słońce,"rabaty, skarpy, roślina okrywowa, ogrody przydomowe, małe ogrody, duże ogrody",cała roślina,,,
dąbrówka rozłogowa,ajuga reptans,byliny,"znoszące zacienienie, płożące lub okrywowe, na skalniaki, ozdobne liście, kwitnące wiosną, ozdobne kwiaty","kwiaty, ulistnienie","próchniczna, świeża","białe, różowe, niebieskie, granatowe, fioletowe",drobne,obojętna,,"płożący, kępy, kobierce",do 20 cm,"V, VI, VII, VIII",półzimozielone,,gleba umiarkowanie wilgotna,półcień,"skalniaki, obwódki rabat, brzegi zbiorników wodnych, skarpy, roślina okrywowa, pod koronami drzew",,grono,,
żywotnik zachodni,thuja occidentalis,drzewa,"iglaste, do małych ogrodów, parkowe, ozdobne liście, na słoneczne stanowisko","ulistnienie, pędy","każda ogrodowa, próchniczna, przepuszczalna, bogata w wapń","czerwone, zielonkawe",drobne,"zasadowa, lekko kwaśna, obojętna, lekko zasadowa",,wzniesiony,do 20 m,"III, IV",zimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, żywopłoty, szpalery, sadzona przy ogrodzeniach, małe ogrody, duże ogrody, parki, zieleń miejska, cmentarze, pojemniki",,,,
fuksja / ułanka,fuchsia,na balkon i taras,"znoszące zacienienie, kwitnące wiosną, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"przewiewna, żyzna, próchniczna, świeża, przepuszczalna, lekka","bordowe, białe, czerwone, purpurowe, różowe, fioletowe","dzwonkowate, pojedyncze, pełne, duże",lekko kwaśna,jagody,"luźny, wzniesiony, płożący","zwykle do 50 cm, są odmiany dorastające do ponad 1 m","IV, V, VI, VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina pnąca, roślina dekoracyjna, tarasy, pod koronami drzew, małe ogrody, duże ogrody, pojemniki, balkony",kwiaty,,,owoce
kamelia japońska,camellia japonica,na balkon i taras,"znoszące zacienienie, kwitnące wiosną, ozdobne kwiaty","kwiaty, ulistnienie","żyzna, próchniczna, lekka","białe, czerwone, różowe","pojedyncze, pełne, duże",lekko kwaśna,,"wzniesiony, krzaczkowaty","2 m (w donicach), 15 m (w naturze)","II, III, IV",zimozielone,,gleba umiarkowanie wilgotna,półcień,"tarasy, wnętrza, pojemniki, balkony, roślina lecznicza",,,,
roszpunka / roszponka,valerianella locusta,"owocowe, warzywne",warzywa,,"żyzna, próchniczna, przepuszczalna",białe,drobne,obojętna,,,ok. 10 cm,"VII, VIII",,,gleba umiarkowanie wilgotna,słońce,"pojemniki, roślina jadalna",,,,liście
szparag lekarski,asparagus officinalis,"owocowe, warzywne",warzywa,,"żyzna, świeża, przepuszczalna",zielonkawe,"dzwonkowate, niepozorne, drobne","zasadowa, obojętna",jagody,"wzniesiony, rozłożysty","1,5-2 m","V, VI, VII",,,gleba umiarkowanie wilgotna,słońce,roślina jadalna,,,czerwone,liście
